,prob CR,prob PR,prob SD,prob PD
majority CR,0.7429130009775171,0.1826001955034213,0.06119257086999022,0.013294232649071359
majority PR,0.14662756598240467,0.6703812316715542,0.1380254154447703,0.04496578690127077
majority SD,0.012707722385141739,0.13137829912023458,0.6838709677419355,0.17204301075268816
majority PD,0.0037145650048875855,0.010557184750733138,0.06725317693059628,0.918475073313783
